location,island,site,Stability,Category,mean_coral_cover,sd_coral_cover,n,CV_coral_cover,Z_mean_coral_cover,Z_median_coral_cover
Florida_Keys,Lower_Keys,West_Washer_Women,Stable,Oasis,26.52,2.71,20,10.22,2.56,2.49
Florida_Keys,Lower_Keys,Western_Head,Stable,Oasis,23.80,1.85,20,7.77,2.18,2.22
Florida_Keys,Lower_Keys,Jaap_Reef,Stable,Oasis,20.89,6.64,20,31.79,1.71,1.65
Florida_Keys,Dry_Tortugas,Prolifera_Patch,Stable,Oasis,17.73,2.72,12,15.31,1.57,1.56
Florida_Keys,Dry_Tortugas,Black_Coral_Rock,Stable,Oasis,17.85,3.55,17,19.90,1.45,1.35
Florida_Keys,Lower_Keys,Cliff_Green,Stable,Non_oasis,15.29,2.40,20,15.67,1.00,0.95
Florida_Keys,Middle_Keys,Dustan_Rocks,Stable,Non_oasis,14.60,1.91,20,13.09,0.90,0.88
Florida_Keys,Lower_Keys,Looe_Key_Shallow,Stable,Non_oasis,14.50,1.98,20,13.68,0.88,0.85
Florida_Keys,Middle_Keys,West_Turtle_Shoal,Stable,Non_oasis,12.99,1.68,20,12.93,0.69,0.65
Florida_Keys,Dry_Tortugas,BK,Stable,Non_oasis,10.88,1.06,12,9.72,0.54,0.52
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,Stable,Non_oasis,12.31,3.94,17,31.99,0.66,0.48
Florida_Keys,Upper_Keys,Grecian_Rocks,Stable,Non_oasis,10.70,2.34,20,21.91,0.35,0.33
Florida_Keys,Dry_Tortugas,Palmata_Patch,Stable,Non_oasis,6.28,2.54,12,40.36,-0.13,-0.02
Florida_Keys,Upper_Keys,Turtle,Stable,Non_oasis,7.05,1.47,20,20.81,-0.13,-0.21
Florida_Keys,Middle_Keys,Tennessee_Deep,Stable,Non_oasis,5.52,1.23,20,22.36,-0.35,-0.37
Florida_Keys,Upper_Keys,Molasses_Shallow,Stable,Non_oasis,5.35,2.21,20,41.27,-0.37,-0.38
Florida_Keys,Dry_Tortugas,Temptation_Rock,Stable,Non_oasis,4.47,1.11,12,24.90,-0.40,-0.41
