site,quadrat,year,image_id,functional_group,percent_cover
Cabritte,1,1992,Site_02_1992_001,All coral,1.6
Cabritte,2,1992,Site_02_1992_002,All coral,8.2
Cabritte,3,1992,Site_02_1992_003,All coral,8.5
Cabritte,4,1992,Site_02_1992_004,All coral,5.7
Cabritte,5,1992,Site_02_1992_005,All coral,12.9
Cabritte,6,1992,Site_02_1992_006,All coral,9
Cabritte,7,1992,Site_02_1992_007,All coral,5
Cabritte,8,1992,Site_02_1992_008,All coral,0
Cabritte,9,1992,Site_02_1992_009,All coral,0
Cabritte,10,1992,Site_02_1992_010,All coral,0
Cabritte,11,1992,Site_02_1992_011,All coral,3.1
Cabritte,12,1992,Site_02_1992_012,All coral,18.4
Cabritte,13,1992,Site_02_1992_013,All coral,20
Cabritte,14,1992,Site_02_1992_014,All coral,4.5
Cabritte,15,1992,Site_02_1992_015,All coral,4.7
Cabritte,16,1992,Site_02_1992_016,All coral,7
Cabritte,17,1992,Site_02_1992_017,All coral,6.2
East Tektite,1,1992,Site_06_1992_001,All coral,7.2
East Tektite,2,1992,Site_06_1992_002,All coral,1.6
East Tektite,3,1992,Site_06_1992_003,All coral,4.1
East Tektite,4,1992,Site_06_1992_004,All coral,7.4
East Tektite,5,1992,Site_06_1992_005,All coral,3.1
East Tektite,6,1992,Site_06_1992_006,All coral,12.9
East Tektite,7,1992,Site_06_1992_007,All coral,0
East Tektite,8,1992,Site_06_1992_008,All coral,0
East Tektite,9,1992,Site_06_1992_009,All coral,0
East Tektite,10,1992,Site_06_1992_010,All coral,6
East Tektite,11,1992,Site_06_1992_011,All coral,19.6
East Tektite,12,1992,Site_06_1992_012,All coral,0
East Tektite,13,1992,Site_06_1992_013,All coral,0
East Tektite,14,1992,Site_06_1992_014,All coral,7.5
East Tektite,15,1992,Site_06_1992_015,All coral,2.5
East Tektite,16,1992,Site_06_1992_016,All coral,37.5
East Tektite,17,1992,Site_06_1992_017,All coral,1.6
Europa Bay,1,1992,Site_11_1992_A_001,All coral,0
Europa Bay,2,1992,Site_11_1992_A_002,All coral,0
Europa Bay,3,1992,Site_11_1992_A_003,All coral,2.1
Europa Bay,4,1992,Site_11_1992_A_004,All coral,0
Europa Bay,5,1992,Site_11_1992_A_005,All coral,3
Europa Bay,6,1992,Site_11_1992_A_006,All coral,21
Europa Bay,7,1992,Site_11_1992_A_007,All coral,25
Europa Bay,8,1992,Site_11_1992_A_008,All coral,2.1
Europa Bay,9,1992,Site_11_1992_A_009,All coral,0.5
Europa Bay,10,1992,Site_11_1992_A_010,All coral,0
Europa Bay,11,1992,Site_11_1992_A_011,All coral,0
Europa Bay,12,1992,Site_11_1992_A_012,All coral,0
Europa Bay,13,1992,Site_11_1992_A_013,All coral,0
Europa Bay,14,1992,Site_11_1992_A_014,All coral,0
Europa Bay,15,1992,Site_11_1992_A_015,All coral,12.4
Europa Bay,16,1992,Site_11_1992_A_016,All coral,2
Europa Bay,17,1992,Site_11_1992_A_017,All coral,0
Little Lameshur Bay,1,1992,Site_09_1992_001,All coral,0.5
