date,site,transect,quadrat,functional_group,percent_cover
12/01/87,Yawzi,1,1,All coral,57
12/01/87,Yawzi,1,2,All coral,23
12/01/87,Yawzi,1,3,All coral,80
12/01/87,Yawzi,1,4,All coral,67
12/01/87,Yawzi,1,5,All coral,48.1
12/01/87,Yawzi,1,6,All coral,58.9
12/01/87,Yawzi,1,7,All coral,50.2
12/01/87,Yawzi,1,8,All coral,58.5
12/01/87,Yawzi,1,9,All coral,61
12/01/87,Yawzi,1,10,All coral,33
12/01/87,Yawzi,2,1,All coral,64.5
12/01/87,Yawzi,2,2,All coral,20
12/01/87,Yawzi,2,3,All coral,38.5
12/01/87,Yawzi,2,4,All coral,46.5
12/01/87,Yawzi,2,6,All coral,28.5
12/01/87,Yawzi,2,7,All coral,24.5
12/01/87,Yawzi,2,8,All coral,45
12/01/87,Yawzi,2,9,All coral,34.5
12/01/87,Yawzi,2,10,All coral,49.5
12/01/87,Yawzi,3,1,All coral,76
12/01/87,Yawzi,3,2,All coral,62.5
12/01/87,Yawzi,3,3,All coral,62.5
12/01/87,Yawzi,3,4,All coral,18.5
12/01/87,Yawzi,3,5,All coral,42.7
12/01/87,Yawzi,3,6,All coral,16
12/01/87,Yawzi,3,7,All coral,49
12/01/87,Yawzi,3,8,All coral,14
12/01/87,Yawzi,3,9,All coral,22.5
12/01/87,Yawzi,3,10,All coral,42
03/01/88,Yawzi,1,1,All coral,49
03/01/88,Yawzi,1,2,All coral,29
03/01/88,Yawzi,1,3,All coral,64.6
03/01/88,Yawzi,1,4,All coral,59.5
03/01/88,Yawzi,1,5,All coral,41.7
03/01/88,Yawzi,1,6,All coral,58.5
03/01/88,Yawzi,1,7,All coral,37.8
03/01/88,Yawzi,1,8,All coral,42
03/01/88,Yawzi,1,9,All coral,64.5
03/01/88,Yawzi,1,10,All coral,50
03/01/88,Yawzi,2,1,All coral,66.5
03/01/88,Yawzi,2,2,All coral,60.5
03/01/88,Yawzi,2,3,All coral,61.5
03/01/88,Yawzi,2,4,All coral,48
03/01/88,Yawzi,2,5,All coral,34.5
03/01/88,Yawzi,2,6,All coral,33.5
03/01/88,Yawzi,2,7,All coral,47.5
03/01/88,Yawzi,2,8,All coral,15
03/01/88,Yawzi,2,9,All coral,23.5
03/01/88,Yawzi,2,10,All coral,61.5
03/01/88,Yawzi,3,1,All coral,58
03/01/88,Yawzi,3,2,All coral,66
03/01/88,Yawzi,3,3,All coral,43
03/01/88,Yawzi,3,4,All coral,15.5
03/01/88,Yawzi,3,5,All coral,28.5
03/01/88,Yawzi,3,6,All coral,27.5
03/01/88,Yawzi,3,7,All coral,31
03/01/88,Yawzi,3,8,All coral,6
03/01/88,Yawzi,3,9,All coral,29
03/01/88,Yawzi,3,10,All coral,48.5
07/01/88,Yawzi,1,1,All coral,44
07/01/88,Yawzi,1,2,All coral,27.5
07/01/88,Yawzi,1,3,All coral,64
07/01/88,Yawzi,1,4,All coral,59.5
07/01/88,Yawzi,1,5,All coral,48.7
07/01/88,Yawzi,1,6,All coral,68
07/01/88,Yawzi,1,7,All coral,55
07/01/88,Yawzi,1,8,All coral,51
07/01/88,Yawzi,1,9,All coral,65.5
07/01/88,Yawzi,1,10,All coral,55.5
07/01/88,Yawzi,2,1,All coral,66.5
07/01/88,Yawzi,2,2,All coral,54.5
07/01/88,Yawzi,2,3,All coral,67.5
07/01/88,Yawzi,2,4,All coral,59
07/01/88,Yawzi,2,5,All coral,34
07/01/88,Yawzi,2,6,All coral,27.5
07/01/88,Yawzi,2,7,All coral,32.5
07/01/88,Yawzi,2,8,All coral,11
07/01/88,Yawzi,2,9,All coral,23
07/01/88,Yawzi,2,10,All coral,63.5
07/01/88,Yawzi,3,1,All coral,64
07/01/88,Yawzi,3,2,All coral,64.5
07/01/88,Yawzi,3,3,All coral,46.5
07/01/88,Yawzi,3,4,All coral,17.5
07/01/88,Yawzi,3,5,All coral,29.5
07/01/88,Yawzi,3,6,All coral,17
07/01/88,Yawzi,3,7,All coral,45
07/01/88,Yawzi,3,8,All coral,11.5
07/01/88,Yawzi,3,9,All coral,24.5
07/01/88,Yawzi,3,10,All coral,24
04/01/89,Yawzi,1,1,All coral,48
04/01/89,Yawzi,1,2,All coral,35
04/01/89,Yawzi,1,3,All coral,68
04/01/89,Yawzi,1,4,All coral,69.5
04/01/89,Yawzi,1,5,All coral,31.3
04/01/89,Yawzi,1,6,All coral,63
04/01/89,Yawzi,1,7,All coral,53
04/01/89,Yawzi,1,8,All coral,46
04/01/89,Yawzi,1,9,All coral,70
04/01/89,Yawzi,1,10,All coral,52
04/01/89,Yawzi,2,1,All coral,71.5
04/01/89,Yawzi,2,2,All coral,63
04/01/89,Yawzi,2,3,All coral,72
04/01/89,Yawzi,2,4,All coral,64.6
04/01/89,Yawzi,2,5,All coral,31
04/01/89,Yawzi,2,6,All coral,30
04/01/89,Yawzi,2,7,All coral,39
04/01/89,Yawzi,2,8,All coral,10.5
04/01/89,Yawzi,2,9,All coral,27.5
04/01/89,Yawzi,2,10,All coral,65
04/01/89,Yawzi,3,1,All coral,65.5
04/01/89,Yawzi,3,2,All coral,64.5
04/01/89,Yawzi,3,3,All coral,53
04/01/89,Yawzi,3,4,All coral,30.5
04/01/89,Yawzi,3,5,All coral,33.5
04/01/89,Yawzi,3,6,All coral,12
04/01/89,Yawzi,3,7,All coral,49
04/01/89,Yawzi,3,8,All coral,9.5
04/01/89,Yawzi,3,9,All coral,15.5
04/01/89,Yawzi,3,10,All coral,24
10/01/89,Yawzi,1,1,All coral,51
10/01/89,Yawzi,1,2,All coral,25.5
10/01/89,Yawzi,1,3,All coral,59
10/01/89,Yawzi,1,4,All coral,60.5
10/01/89,Yawzi,1,5,All coral,41
10/01/89,Yawzi,1,6,All coral,41.5
10/01/89,Yawzi,1,7,All coral,46
10/01/89,Yawzi,1,8,All coral,48.5
10/01/89,Yawzi,2,1,All coral,12.5
10/01/89,Yawzi,2,2,All coral,3
10/01/89,Yawzi,2,3,All coral,27
10/01/89,Yawzi,2,4,All coral,27
10/01/89,Yawzi,2,5,All coral,37
10/01/89,Yawzi,2,6,All coral,45.5
10/01/89,Yawzi,2,7,All coral,37.5
10/01/89,Yawzi,2,8,All coral,50
10/01/89,Yawzi,2,9,All coral,33
10/01/89,Yawzi,2,10,All coral,53.5
10/01/89,Yawzi,3,1,All coral,53.5
10/01/89,Yawzi,3,2,All coral,60.5
10/01/89,Yawzi,3,3,All coral,53
10/01/89,Yawzi,3,4,All coral,17
10/01/89,Yawzi,3,5,All coral,5
10/01/89,Yawzi,3,6,All coral,2
10/01/89,Yawzi,3,7,All coral,6.5
10/01/89,Yawzi,3,8,All coral,3.5
10/01/89,Yawzi,3,9,All coral,1.5
10/01/89,Yawzi,3,10,All coral,5
09/01/90,Yawzi,1,1,All coral,52
09/01/90,Yawzi,1,2,All coral,23
09/01/90,Yawzi,1,3,All coral,58.5
09/01/90,Yawzi,1,4,All coral,65.5
09/01/90,Yawzi,1,5,All coral,60
09/01/90,Yawzi,1,6,All coral,45
09/01/90,Yawzi,1,7,All coral,42
09/01/90,Yawzi,1,8,All coral,47
09/01/90,Yawzi,1,9,All coral,64.5
09/01/90,Yawzi,1,10,All coral,40.5
09/01/90,Yawzi,2,1,All coral,60
09/01/90,Yawzi,2,2,All coral,49.5
09/01/90,Yawzi,2,3,All coral,48.5
09/01/90,Yawzi,2,4,All coral,18.5
09/01/90,Yawzi,2,5,All coral,13.5
09/01/90,Yawzi,2,6,All coral,8.5
09/01/90,Yawzi,2,7,All coral,8.5
09/01/90,Yawzi,2,8,All coral,19.5
09/01/90,Yawzi,2,9,All coral,5
09/01/90,Yawzi,2,10,All coral,16.5
09/01/90,Yawzi,3,1,All coral,51.5
09/01/90,Yawzi,3,2,All coral,65
09/01/90,Yawzi,3,3,All coral,53
09/01/90,Yawzi,3,4,All coral,13.5
09/01/90,Yawzi,3,5,All coral,6
09/01/90,Yawzi,3,6,All coral,9.5
09/01/90,Yawzi,3,7,All coral,6.5
09/01/90,Yawzi,3,8,All coral,2
09/01/90,Yawzi,3,10,All coral,7
03/01/91,Yawzi,1,1,All coral,45
03/01/91,Yawzi,1,2,All coral,27
03/01/91,Yawzi,1,3,All coral,49
03/01/91,Yawzi,1,4,All coral,69.5
03/01/91,Yawzi,1,5,All coral,55.5
03/01/91,Yawzi,1,6,All coral,43.5
03/01/91,Yawzi,1,7,All coral,59
03/01/91,Yawzi,1,8,All coral,55
03/01/91,Yawzi,1,9,All coral,44.5
03/01/91,Yawzi,1,10,All coral,33.5
03/01/91,Yawzi,2,1,All coral,67
03/01/91,Yawzi,2,2,All coral,37.5
03/01/91,Yawzi,2,3,All coral,38
03/01/91,Yawzi,2,4,All coral,16
03/01/91,Yawzi,2,5,All coral,14
03/01/91,Yawzi,2,6,All coral,9
03/01/91,Yawzi,2,7,All coral,10
03/01/91,Yawzi,2,8,All coral,18.5
03/01/91,Yawzi,2,9,All coral,9
03/01/91,Yawzi,2,10,All coral,22
03/01/91,Yawzi,3,1,All coral,54
03/01/91,Yawzi,3,2,All coral,55.5
03/01/91,Yawzi,3,3,All coral,49
03/01/91,Yawzi,3,4,All coral,10.5
03/01/91,Yawzi,3,5,All coral,6
03/01/91,Yawzi,3,6,All coral,4
03/01/91,Yawzi,3,7,All coral,8.5
03/01/91,Yawzi,3,8,All coral,2.5
03/01/91,Yawzi,3,9,All coral,4
03/01/91,Yawzi,3,10,All coral,6.5
05/01/92,Yawzi,1,1,All coral,51.7
05/01/92,Yawzi,1,2,All coral,20.1
05/01/92,Yawzi,1,3,All coral,53.3
05/01/92,Yawzi,1,4,All coral,57.1
05/01/92,Yawzi,1,5,All coral,51.3
05/01/92,Yawzi,1,6,All coral,31.1
05/01/92,Yawzi,1,7,All coral,39.2
05/01/92,Yawzi,1,8,All coral,39.2
05/01/92,Yawzi,1,9,All coral,39
05/01/92,Yawzi,1,10,All coral,19.3
05/01/92,Yawzi,2,2,All coral,nd
05/01/92,Yawzi,2,3,All coral,nd
05/01/92,Yawzi,2,4,All coral,nd
05/01/92,Yawzi,2,5,All coral,nd
05/01/92,Yawzi,2,6,All coral,nd
05/01/92,Yawzi,2,7,All coral,nd
05/01/92,Yawzi,2,8,All coral,nd
05/01/92,Yawzi,2,9,All coral,nd
05/01/92,Yawzi,2,10,All coral,nd
05/01/92,Yawzi,3,1,All coral,54.7
05/01/92,Yawzi,3,2,All coral,62
05/01/92,Yawzi,3,3,All coral,61.5
05/01/92,Yawzi,3,4,All coral,7.8
05/01/92,Yawzi,3,5,All coral,7.6
05/01/92,Yawzi,3,6,All coral,5.3
05/01/92,Yawzi,3,7,All coral,9.1
05/01/92,Yawzi,3,8,All coral,8.7
05/01/92,Yawzi,3,9,All coral,3.1
05/01/92,Yawzi,3,10,All coral,7.6
06/01/93,Yawzi,1,1,All coral,64.8
06/01/93,Yawzi,1,2,All coral,23.2
06/01/93,Yawzi,1,3,All coral,61.8
06/01/93,Yawzi,1,4,All coral,55.3
06/01/93,Yawzi,1,5,All coral,52.2
06/01/93,Yawzi,1,6,All coral,35.3
06/01/93,Yawzi,1,7,All coral,30.6
06/01/93,Yawzi,1,8,All coral,57.6
06/01/93,Yawzi,1,9,All coral,60.5
06/01/93,Yawzi,1,10,All coral,34.6
06/01/93,Yawzi,2,1,All coral,58.2
06/01/93,Yawzi,2,2,All coral,30.6
06/01/93,Yawzi,2,3,All coral,41.6
06/01/93,Yawzi,2,4,All coral,16.5
06/01/93,Yawzi,2,5,All coral,15.2
06/01/93,Yawzi,2,6,All coral,13.6
06/01/93,Yawzi,2,7,All coral,13.6
06/01/93,Yawzi,2,8,All coral,22.1
06/01/93,Yawzi,2,9,All coral,8.1
06/01/93,Yawzi,2,10,All coral,18.6
06/01/93,Yawzi,3,1,All coral,51.2
06/01/93,Yawzi,3,2,All coral,60.8
06/01/93,Yawzi,3,3,All coral,71.3
06/01/93,Yawzi,3,4,All coral,14.9
06/01/93,Yawzi,3,5,All coral,9.4
06/01/93,Yawzi,3,6,All coral,3.7
06/01/93,Yawzi,3,7,All coral,9.8
06/01/93,Yawzi,3,8,All coral,6
06/01/93,Yawzi,3,9,All coral,5.9
06/01/93,Yawzi,3,10,All coral,7.2
08/01/94,Yawzi,1,1,All coral,54.4
08/01/94,Yawzi,1,2,All coral,77.1
08/01/94,Yawzi,1,3,All coral,65
08/01/94,Yawzi,1,4,All coral,51.1
08/01/94,Yawzi,1,5,All coral,19.9
08/01/94,Yawzi,1,6,All coral,41
08/01/94,Yawzi,1,7,All coral,38.5
08/01/94,Yawzi,1,8,All coral,66
08/01/94,Yawzi,1,9,All coral,68
08/01/94,Yawzi,1,10,All coral,37
08/01/94,Yawzi,2,1,All coral,74
08/01/94,Yawzi,2,2,All coral,39.4
08/01/94,Yawzi,2,3,All coral,42.4
08/01/94,Yawzi,2,4,All coral,21.1
08/01/94,Yawzi,2,5,All coral,27.4
08/01/94,Yawzi,2,6,All coral,13.5
08/01/94,Yawzi,2,7,All coral,26
08/01/94,Yawzi,2,8,All coral,22
08/01/94,Yawzi,2,9,All coral,15.5
08/01/94,Yawzi,2,10,All coral,15.5
08/01/94,Yawzi,3,1,All coral,53
08/01/94,Yawzi,3,2,All coral,60
08/01/94,Yawzi,3,3,All coral,77.2
08/01/94,Yawzi,3,4,All coral,18.8
08/01/94,Yawzi,3,5,All coral,4.5
08/01/94,Yawzi,3,6,All coral,4
08/01/94,Yawzi,3,7,All coral,23.1
08/01/94,Yawzi,3,8,All coral,6.6
08/01/94,Yawzi,3,9,All coral,3
08/01/94,Yawzi,3,10,All coral,7.2
05/01/95,Yawzi,1,1,All coral,37.4
05/01/95,Yawzi,1,2,All coral,37.3
05/01/95,Yawzi,1,3,All coral,60.8
05/01/95,Yawzi,1,4,All coral,49.4
05/01/95,Yawzi,1,5,All coral,41.2
05/01/95,Yawzi,1,6,All coral,28.6
05/01/95,Yawzi,1,7,All coral,43
05/01/95,Yawzi,1,8,All coral,54.7
05/01/95,Yawzi,1,9,All coral,45.1
05/01/95,Yawzi,1,10,All coral,22.1
05/01/95,Yawzi,2,1,All coral,54
05/01/95,Yawzi,2,2,All coral,29.3
05/01/95,Yawzi,2,3,All coral,43
05/01/95,Yawzi,2,4,All coral,18.7
05/01/95,Yawzi,2,5,All coral,21.8
05/01/95,Yawzi,2,6,All coral,7
05/01/95,Yawzi,2,7,All coral,13.7
05/01/95,Yawzi,2,8,All coral,26.5
05/01/95,Yawzi,2,9,All coral,8
05/01/95,Yawzi,2,10,All coral,17.4
05/01/95,Yawzi,3,1,All coral,52.9
05/01/95,Yawzi,3,2,All coral,50.6
05/01/95,Yawzi,3,3,All coral,66.7
05/01/95,Yawzi,3,4,All coral,12.8
05/01/95,Yawzi,3,5,All coral,9.5
05/01/95,Yawzi,3,6,All coral,6.9
05/01/95,Yawzi,3,7,All coral,13.8
05/01/95,Yawzi,3,8,All coral,3.4
05/01/95,Yawzi,3,9,All coral,4.4
05/01/95,Yawzi,3,10,All coral,12.3
05/01/96,Yawzi,1,1,All coral,68.7
05/01/96,Yawzi,1,2,All coral,29.6
05/01/96,Yawzi,1,3,All coral,64.4
05/01/96,Yawzi,1,4,All coral,53.7
05/01/96,Yawzi,1,5,All coral,60.7
05/01/96,Yawzi,1,6,All coral,35.2
05/01/96,Yawzi,1,7,All coral,32
05/01/96,Yawzi,1,8,All coral,32.8
05/01/96,Yawzi,1,9,All coral,40.2
05/01/96,Yawzi,1,10,All coral,26
05/01/96,Yawzi,2,1,All coral,15.7
05/01/96,Yawzi,2,2,All coral,9.2
05/01/96,Yawzi,2,3,All coral,4.2
05/01/96,Yawzi,2,4,All coral,1.2
05/01/96,Yawzi,2,5,All coral,1.1
05/01/96,Yawzi,2,6,All coral,0.5
05/01/96,Yawzi,2,7,All coral,5
05/01/96,Yawzi,2,8,All coral,4.5
05/01/96,Yawzi,2,9,All coral,9.6
05/01/96,Yawzi,2,10,All coral,10.5
05/01/96,Yawzi,3,1,All coral,25.3
05/01/96,Yawzi,3,2,All coral,44
05/01/96,Yawzi,3,3,All coral,35.9
05/01/96,Yawzi,3,4,All coral,0.5
05/01/96,Yawzi,3,5,All coral,0.5
