region,survey_year,survey_date,survey_index,station_code,latitude,longitude,biotope,admin,habitat,depth,stratum,fish,LPI,demo,N_cells_stratum,N_fish_cells_sampled,fish_sampling_weights,N_LPI_cells_sampled,LPI_sampling_weights,N_demo_cells_sampled,demo_sampling_weights,rugosity,minDepth,maxDepth,abioticCover,coverType,percentCover
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Agaricia agaricites,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Agaricia fragilis,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Rubble,Bare Substrate,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Soft,Bare Substrate,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Dictyota spp,20
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Gorgonacea plumes/rods/whips,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Halimeda spp,5
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Lobophora spp,17
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,MacroOtherFleshy,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Meandrina meandrites,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Orbicella faveolata,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Orbicella franksi,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Peysonnellia,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Porifera spp,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Porites astreoides,6
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Porites porites,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Pseudodiploria strigosa,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Rhodophyta cru. spp,19
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Rubble,Rhodophyta cru. spp,1
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Siderastrea siderea,2
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Turf Algae Free of Sediment,6
STTSTJ,2013,7/13/2013,8767,1,18.30996,-64.85375,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,1.841666,29,36,Hard,Turf Algae with Sediment,4
STTSTJ,2013,7/9/2013,8768,3,18.32323,-64.83592,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,0.1,25,38,Soft,Bare Substrate,99
STTSTJ,2013,7/9/2013,8768,3,18.32323,-64.83592,STT,STEER,AGRF,SHLW,STT_STEER_AGRF_SHLW,1,1,1,135,3,45,3,45,3,45,0.1,25,38,Rubble,Turf Algae Free of Sediment,1
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Agaricia lamarcki,1
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Bare Substrate,2
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Dictyota spp,38
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Eusmilia fastigiata,1
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Lobophora spp,15
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Meandrina meandrites,1
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Montastraea cavernosa,3
STTSTJ,2013,7/8/2013,8769,4,18.31115,-64.96112,STT,OPEN,AGRF,SHLW,STT_OPEN_AGRF_SHLW,1,1,1,1189,9,132.1,9,132.1,8,148.6,0.625,40,47,Hard,Orbicella annularis,1
