YEAR,SITE,REGION,BENTHIC_GROUP,FAMILY,GENUS,COVER
1994,1,1,HARD CORAL,ACROPORIDAE,ACROPORA,7.007823167
1994,1,1,HARD CORAL,FAVIIDAE,ECHINOPORA,0.195121951
1994,1,1,HARD CORAL,FAVIIDAE,FAVIA,0.547985348
1994,1,1,HARD CORAL,FAVIIDAE,FAVID SPP,0.531260609
1994,1,1,HARD CORAL,FAVIIDAE,FAVITES,1.242637993
1994,1,1,HARD CORAL,FUNGIIDAE,FUNGIA,0.638827839
1994,1,1,HARD CORAL,FAVIIDAE,GONIASTREA,1.064240781
1994,1,1,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,3.493618385
1994,1,1,HARD CORAL,ACROPORIDAE,ISOPORA,0.744826861
1994,1,1,HARD CORAL,ACROPORIDAE,MONTIPORA,4.402564628
1994,1,1,HARD CORAL,AGARICIIDAE,PAVONA,0.443779463
1994,1,1,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,1.297815336
1994,1,1,HARD CORAL,PORITIDAE,PORITES,10.78427799
1994,1,1,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,2.592277737
1994,1,1,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.986765888
1994,1,1,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,0.512820513
1994,1,1,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,2.10454223
1994,1,1,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,9.463160273
1994,1,1,MACROALGAE and SPONGE,,,10.6403477
1994,1,1,TURF and CORALLINE ALGAE,,,35.93899549
1994,1,1,OTHER GROUP,,,5.366309826
1994,2,1,HARD CORAL,ACROPORIDAE,ACROPORA,4.870471348
1994,2,1,HARD CORAL,FAVIIDAE,ECHINOPORA,0.105263158
1994,2,1,HARD CORAL,FAVIIDAE,FAVIA,0.210526316
1994,2,1,HARD CORAL,FAVIIDAE,FAVID SPP,0.834008097
1994,2,1,HARD CORAL,FAVIIDAE,FAVITES,0.696905053
1994,2,1,HARD CORAL,FUNGIIDAE,FUNGIA,0.313090418
1994,2,1,HARD CORAL,FAVIIDAE,GONIASTREA,0.960940814
1994,2,1,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,6.388959877
1994,2,1,HARD CORAL,ACROPORIDAE,ISOPORA,1.05988047
1994,2,1,HARD CORAL,ACROPORIDAE,MONTIPORA,6.633910357
1994,2,1,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.405595384
1994,2,1,HARD CORAL,PORITIDAE,PORITES,9.686681821
1994,2,1,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,1.097620617
1994,2,1,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.821768195
1994,2,1,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,2.277308656
1994,2,1,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,3.455070592
1994,2,1,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,7.65225407
1994,2,1,MACROALGAE and SPONGE,,,14.43957479
1994,2,1,TURF and CORALLINE ALGAE,,,34.12111854
1994,2,1,OTHER GROUP,,,3.96905143
1994,3,1,HARD CORAL,ACROPORIDAE,ACROPORA,4.465820476
1994,3,1,HARD CORAL,FAVIIDAE,FAVIA,0.1
1994,3,1,HARD CORAL,FAVIIDAE,FAVID SPP,0.412955466
1994,3,1,HARD CORAL,FAVIIDAE,FAVITES,0.407692308
1994,3,1,HARD CORAL,FAVIIDAE,GONIASTREA,0.521198526
1994,3,1,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,2.07954189
1994,3,1,HARD CORAL,ACROPORIDAE,ISOPORA,3.78340081
1994,3,1,HARD CORAL,ACROPORIDAE,MONTIPORA,4.269890944
1994,3,1,HARD CORAL,AGARICIIDAE,PAVONA,0.205128205
1994,3,1,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.205128205
1994,3,1,HARD CORAL,PORITIDAE,PORITES,17.51784659
1994,3,1,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,2.089922311
1994,3,1,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.413236313
1994,3,1,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,0.20782726
1994,3,1,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,1.438731444
1994,3,1,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,4.03135281
1994,3,1,MACROALGAE and SPONGE,,,16.01843382
1994,3,1,TURF and CORALLINE ALGAE,,,32.35913484
1994,3,1,OTHER GROUP,,,9.472757778
1994,4,2,HARD CORAL,ACROPORIDAE,ACROPORA,12.35128205
1994,4,2,HARD CORAL,FAVIIDAE,ECHINOPORA,2.305128205
1994,4,2,HARD CORAL,FAVIIDAE,FAVID SPP,0.705128205
1994,4,2,HARD CORAL,FUNGIIDAE,FUNGIA,4.215384615
1994,4,2,HARD CORAL,FAVIIDAE,GONIASTREA,0.3
1994,4,2,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,12.03589744
1994,4,2,HARD CORAL,ACROPORIDAE,ISOPORA,10.67692308
1994,4,2,HARD CORAL,ACROPORIDAE,MONTIPORA,2.105128205
1994,4,2,HARD CORAL,AGARICIIDAE,PAVONA,0.1
1994,4,2,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.5
1994,4,2,HARD CORAL,PORITIDAE,PORITES,2.005128205
1994,4,2,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,7.776923077
1994,4,2,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.702564103
1994,4,2,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,0.605128205
1994,4,2,SOFT CORAL,ALCYONIIDAE,SARCOPHYTON,0.3
1994,4,2,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.307692308
1994,4,2,MACROALGAE and SPONGE,,,6.267628205
1994,4,2,TURF and CORALLINE ALGAE,,,29.34935897
1994,4,2,OTHER GROUP,,,7.390705128
1994,5,2,HARD CORAL,ACROPORIDAE,ACROPORA,16
1994,5,2,HARD CORAL,FAVIIDAE,ECHINOPORA,6.4
1994,5,2,HARD CORAL,FAVIIDAE,FAVID SPP,0.6
1994,5,2,HARD CORAL,FAVIIDAE,FAVITES,0.7
1994,5,2,HARD CORAL,FUNGIIDAE,FUNGIA,2.6
1994,5,2,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,7.8
1994,5,2,HARD CORAL,ACROPORIDAE,ISOPORA,6.5
1994,5,2,HARD CORAL,ACROPORIDAE,MONTIPORA,2.8
1994,5,2,HARD CORAL,PORITIDAE,PORITES,3
1994,5,2,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,5.7
1994,5,2,HARD CORAL,POCILLOPORIDAE,STYLOPHORA,0.9
1994,5,2,SOFT CORAL,ALCYONIIDAE,LOBOPHYTUM and SINULARIA,1.6
1994,5,2,SOFT CORAL,SOFT CORAL OTHER,SOFT CORAL OTHER,0.1
1994,5,2,MACROALGAE and SPONGE,,,4.3
1994,5,2,TURF and CORALLINE ALGAE,,,36.5
1994,5,2,OTHER GROUP,,,4.5
1994,6,2,HARD CORAL,ACROPORIDAE,ACROPORA,14.21318681
1994,6,2,HARD CORAL,FAVIIDAE,ECHINOPORA,3.243956044
1994,6,2,HARD CORAL,FAVIIDAE,FAVIA,0.202564103
1994,6,2,HARD CORAL,FAVIIDAE,FAVID SPP,1.190842491
1994,6,2,HARD CORAL,FUNGIIDAE,FUNGIA,1.493406593
1994,6,2,HARD CORAL,FAVIIDAE,GONIASTREA,1.191208791
1994,6,2,HARD CORAL,HARD CORAL OTHER,HARD CORAL OTHER,9.337728938
1994,6,2,HARD CORAL,ACROPORIDAE,ISOPORA,9.46959707
1994,6,2,HARD CORAL,ACROPORIDAE,MONTIPORA,3.412820513
1994,6,2,HARD CORAL,POCILLOPORIDAE,POCILLOPORA,0.990842491
1994,6,2,HARD CORAL,PORITIDAE,PORITES,4.825274725
1994,6,2,HARD CORAL,POCILLOPORIDAE,SERIATOPORA,6.575824176
