Date,Location,Site,Habitat,Transect,cca,dead_coral,algal_matrix,hard_coral,macroalgae,other_biota,rubble,rock,sand,soft_coral,silt,sponge,zooantharia
1989,Singapore,H1,Crest,1,0.0,0.0,28.7,59.0,2.7,2.1,6.4,0.0,0.0,0.0,0.0,1.1,0.0
1989,Singapore,H1,Crest,2,0.0,0.0,6.8,16.2,17.2,0.0,29.0,0.0,0.0,30.8,0.0,0.0,0.0
1989,Singapore,H1,Crest,3,0.0,1.1,11.0,43.0,5.3,5.8,19.5,0.0,10.0,2.2,0.0,2.1,0.0
1989,Singapore,H1,Crest,4,0.0,1.1,20.7,26.8,5.4,5.6,31.7,0.0,3.4,0.8,1.1,3.4,0.0
1989,Singapore,H1,Crest,5,0.0,0.0,1.7,11.5,37.9,1.0,10.8,1.5,34.7,0.0,0.0,1.0,0.0
1989,Singapore,H2,Crest,1,0.0,0.0,0.0,47.7,18.2,0.0,19.5,0.0,8.6,0.0,6.0,0.0,0.0
1989,Singapore,H2,Crest,2,0.0,0.0,7.8,27.2,18.8,0.0,25.1,0.0,18.5,0.0,0.0,2.6,0.0
1989,Singapore,H2,Crest,3,0.0,0.0,29.9,48.3,0.0,0.0,6.5,0.0,14.7,0.0,0.0,0.6,0.0
1989,Singapore,H2,Crest,4,0.0,0.0,16.7,63.0,0.0,2.3,0.0,0.0,18.2,0.0,0.0,0.0,0.0
1989,Singapore,H2,Crest,5,0.0,0.0,22.8,59.5,0.0,1.6,0.0,0.0,16.1,0.0,0.0,0.0,0.0
1989,Singapore,HW2,Crest,1,0.0,0.0,44.5,37.5,1.0,2.5,6.0,0.0,4.0,0.0,0.0,4.5,0.0
1989,Singapore,HW2,Crest,2,0.0,0.0,13.2,80.2,0.0,2.5,0.0,0.0,4.1,0.0,0.0,0.0,0.0
1989,Singapore,HW2,Crest,3,0.0,0.0,7.0,84.5,0.0,2.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
1989,Singapore,HW2,Crest,4,0.0,0.0,15.5,76.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,3.5,0.0
1989,Singapore,HW2,Crest,5,0.0,0.0,11.3,73.2,0.0,5.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1989,Singapore,R1,Crest,1,0.0,0.0,18.0,65.0,0.0,2.6,8.5,2.1,0.0,0.0,0.0,3.9,0.0
1989,Singapore,R1,Crest,2,0.0,0.0,0.0,63.3,0.0,2.5,28.3,1.3,0.0,0.0,0.0,4.8,0.0
1989,Singapore,R1,Crest,3,0.0,0.0,11.5,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Singapore,R1,Crest,4,0.0,0.0,2.7,87.4,0.0,0.0,0.0,0.0,5.5,0.0,0.0,4.4,0.0
