"","sim","year","w","slope","intercept","y","scenario","sim_total","yr_mean","above_mean"
"1",1,1,2.37443780527841,0,19.3703283474315,16.9958905421531,"Stable",1,32.0842185012449,0
"2",1,2,-0.291554589120448,0,19.3703283474315,19.6618829365519,"Stable",1,31.4832711680668,0
"3",1,3,0.182844909346567,0,19.3703283474315,19.1874834380849,"Stable",1,31.3616868060296,0
"4",1,4,2.6976814145599,0,19.3703283474315,16.6726469328716,"Stable",1,32.0495109836764,0
"5",1,5,2.07165367485187,0,19.3703283474315,17.2986746725796,"Stable",1,31.3525657026439,0
"6",1,6,0.588020053564581,0,19.3703283474315,18.7823082938669,"Stable",1,31.2564941949427,0
"7",1,7,4.73161657613231,0,19.3703283474315,14.6387117712992,"Stable",1,31.8500199653883,0
"8",1,8,-4.19173160579798,0,19.3703283474315,23.5620599532295,"Stable",1,31.3958010720882,0
"9",1,9,-1.55614037187887,0,19.3703283474315,20.9264687193104,"Stable",1,32.4224721270917,0
"10",1,10,-2.8696299303457,0,19.3703283474315,22.2399582777772,"Stable",1,31.5465679109786,0
"11",1,11,-2.11593728072115,0,19.3703283474315,21.4862656281526,"Stable",1,32.080766685482,0
"12",1,12,2.92753352385262,0,19.3703283474315,16.4427948235789,"Stable",1,31.671113610724,0
"13",1,13,-0.505376349012504,0,19.3703283474315,19.875704696444,"Stable",1,32.2273782139961,0
"14",1,14,-3.00176628559921,0,19.3703283474315,22.3720946330307,"Stable",1,31.1563238898745,0
"15",1,15,-0.258783920559637,0,19.3703283474315,19.6291122679911,"Stable",1,31.9078244040366,0
"16",1,16,1.81671940579893,0,19.3703283474315,17.5536089416326,"Stable",1,31.556215684359,0
"17",1,17,2.48402513641101,0,19.3703283474315,16.8863032110205,"Stable",1,31.6441451950973,0
"18",1,18,-1.76445582400305,0,19.3703283474315,21.1347841714345,"Stable",1,31.9758508691779,0
"19",1,19,2.22403979598434,0,19.3703283474315,17.1462885514472,"Stable",1,31.7840061018813,0
"20",1,20,-4.66427007638412,0,19.3703283474315,24.0345984238156,"Stable",1,32.237239192334,0
"21",1,21,-2.05849910503663,0,19.3703283474315,21.4288274524681,"Stable",1,31.8684074293129,0
"22",1,22,0.929077177824468,0,19.3703283474315,18.441251169607,"Stable",1,31.8223361056448,0
"23",1,23,-1.3763592306376,0,19.3703283474315,20.7466875780691,"Stable",1,31.6972658621526,0
"24",1,24,-0.738729126476112,0,19.3703283474315,20.1090574739076,"Stable",1,31.4045344138022,0
"25",1,25,1.60837416880872,0,19.3703283474315,17.7619541786228,"Stable",1,32.1130306462067,0
"26",1,26,-0.149194361953565,0,19.3703283474315,19.5195227093851,"Stable",1,31.7290013318459,0
"27",1,27,0.557157791692088,0,19.3703283474315,18.8131705557394,"Stable",1,31.9847616379826,0
"28",1,28,0.565837902380036,0,19.3703283474315,18.8044904450515,"Stable",1,31.530508666158,0
"29",1,29,-1.61899203482393,0,19.3703283474315,20.9893203822554,"Stable",1,31.5486864877245,0
"30",1,30,-1.96766652613458,0,19.3703283474315,21.3379948735661,"Stable",1,31.8466819784736,0
"31",2,1,-3.62659514287195,0,46.8387882049453,50.4653833478173,"Stable",2,32.0842185012449,1
"32",2,2,0.503583447584482,0,46.8387882049453,46.3352047573608,"Stable",2,31.4832711680668,1
"33",2,3,6.64907401660508,0,46.8387882049453,40.1897141883402,"Stable",2,31.3616868060296,1
"34",2,4,-8.77499143195909,0,46.8387882049453,55.6137796369044,"Stable",2,32.0495109836764,1
"35",2,5,-3.78201011365989,0,46.8387882049453,50.6207983186052,"Stable",2,31.3525657026439,1
"36",2,6,3.22074769669537,0,46.8387882049453,43.6180405082499,"Stable",2,31.2564941949427,1
"37",2,7,5.44845418007694,0,46.8387882049453,41.3903340248684,"Stable",2,31.8500199653883,1
"38",2,8,-2.30935286123912,0,46.8387882049453,49.1481410661844,"Stable",2,31.3958010720882,1
"39",2,9,-7.01187210359348,0,46.8387882049453,53.8506603085388,"Stable",2,32.4224721270917,1
"40",2,10,1.31909709887174,0,46.8387882049453,45.5196911060736,"Stable",2,31.5465679109786,1
"41",2,11,-3.69737936892076,0,46.8387882049453,50.5361675738661,"Stable",2,32.080766685482,1
"42",2,12,3.77166953134579,0,46.8387882049453,43.0671186735995,"Stable",2,31.671113610724,1
"43",2,13,2.31925265966502,0,46.8387882049453,44.5195355452803,"Stable",2,32.2273782139961,1
"44",2,14,6.30409177087729,0,46.8387882049453,40.534696434068,"Stable",2,31.1563238898745,1
"45",2,15,-1.38546889710318,0,46.8387882049453,48.2242571020485,"Stable",2,31.9078244040366,1
"46",2,16,-0.3575418265618,0,46.8387882049453,47.1963300315071,"Stable",2,31.556215684359,1
"47",2,17,1.05493686303183,0,46.8387882049453,45.7838513419135,"Stable",2,31.6441451950973,1
"48",2,18,3.65621771930955,0,46.8387882049453,43.1825704856358,"Stable",2,31.9758508691779,1
"49",2,19,2.51227173882131,0,46.8387882049453,44.326516466124,"Stable",2,31.7840061018813,1
"50",2,20,-1.30178531925507,0,46.8387882049453,48.1405735242004,"Stable",2,32.237239192334,1
"51",2,21,-2.39511033504424,0,46.8387882049453,49.2338985399896,"Stable",2,31.8684074293129,1
"52",2,22,-0.910923516931476,0,46.8387882049453,47.7497117218768,"Stable",2,31.8223361056448,1
"53",2,23,3.59311244851897,0,46.8387882049453,43.2456757564264,"Stable",2,31.6972658621526,1
"54",2,24,5.63285339532788,0,46.8387882049453,41.2059348096174,"Stable",2,31.4045344138022,1
"55",2,25,-2.72932851584476,0,46.8387882049453,49.5681167207901,"Stable",2,32.1130306462067,1
"56",2,26,-11.1826620892763,0,46.8387882049453,58.0214502942216,"Stable",2,31.7290013318459,1
"57",2,27,-4.0324515941812,0,46.8387882049453,50.8712397991265,"Stable",2,31.9847616379826,1
"58",2,28,0.318070212428218,0,46.8387882049453,46.5207179925171,"Stable",2,31.530508666158,1
"59",2,29,1.62800020672863,0,46.8387882049453,45.2107879982167,"Stable",2,31.5486864877245,1
"60",2,30,3.3123422410395,0,46.8387882049453,43.5264459639058,"Stable",2,31.8466819784736,1
"61",3,1,-0.814069639893034,0,49.1506327819971,49.9647024218901,"Stable",3,32.0842185012449,1
"62",3,2,-0.960011318945156,0,49.1506327819971,50.1106441009422,"Stable",3,31.4832711680668,1
"63",3,3,-4.24754507286573,0,49.1506327819971,53.3981778548628,"Stable",3,31.3616868060296,1
"64",3,4,-3.28569515004917,0,49.1506327819971,52.4363279320462,"Stable",3,32.0495109836764,1
"65",3,5,5.27984756218925,0,49.1506327819971,43.8707852198078,"Stable",3,31.3525657026439,1
"66",3,6,8.40521233622023,0,49.1506327819971,40.7454204457768,"Stable",3,31.2564941949427,1
